number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
1125, 0.356419, 0.170263, 0.175431, 0.119195, 0.095023, 0.068202, 0.015467, 0.734599, 0.342289, 0.699065, 0.626981, 17.74
1126, 0.368865, 0.170579, 0.173449, 0.112499, 0.092759, 0.067113, 0.014736, 0.622213, 0.526771, 0.583581, 0.420856, 21.29
1127, 0.374848, 0.160067, 0.152406, 0.121274, 0.109203, 0.066953, 0.015248, 0.446094, 0.417042, 0.413958, 0.410806, 18.15
1128, 0.372538, 0.170943, 0.164668, 0.116485, 0.089867, 0.071413, 0.014086, 0.737713, 0.500215, 0.567267, 0.425671, 18.39
1129, 0.362408, 0.169426, 0.171512, 0.119861, 0.092725, 0.068635, 0.015433, 0.756964, 0.571481, 0.637432, 0.552113, 20.03
1130, 0.358457, 0.178851, 0.176749, 0.111037, 0.090909, 0.064532, 0.019465, 0.586842, 0.466013, 0.570089, 0.498409, 19.13
1131, 0.381771, 0.15856, 0.150872, 0.119022, 0.106596, 0.067693, 0.015487, 0.421812, 0.48534, 0.573611, 0.381468, 16.36
1132, 0.366247, 0.172575, 0.167628, 0.116737, 0.093457, 0.067992, 0.015365, 0.599505, 0.410413, 0.635962, 0.592036, 21.97
1133, 0.365366, 0.173209, 0.171626, 0.112604, 0.091812, 0.070368, 0.015016, 0.662768, 0.498962, 0.647927, 0.659939, 21.18
1134, 0.359779, 0.170578, 0.177281, 0.109937, 0.099874, 0.066063, 0.016488, 0.782531, 0.485251, 0.59203, 0.487472, 18.35
1135, 0.357682, 0.173912, 0.1689, 0.117563, 0.094959, 0.069934, 0.01705, 0.712122, 0.49224, 0.597192, 0.525776, 19.92
1136, 0.369414, 0.170538, 0.166428, 0.116425, 0.089332, 0.071499, 0.016364, 0.692866, 0.540694, 0.65044, 0.568182, 18.05
1137, 0.359847, 0.173559, 0.170814, 0.116271, 0.093614, 0.070569, 0.015326, 0.784132, 0.464623, 0.68883, 0.679221, 20.08
1138, 0.365057, 0.16804, 0.168114, 0.114141, 0.090967, 0.079361, 0.014321, 0.609649, 0.484479, 0.677554, 0.494965, 19.74
1139, 0.361522, 0.16865, 0.163312, 0.123985, 0.098836, 0.064105, 0.019589, 0.470616, 0.371374, 0.760318, 0.832192, 20.91
1140, 0.370029, 0.174957, 0.165187, 0.116749, 0.089488, 0.069019, 0.01457, 0.639486, 0.499221, 0.540242, 0.498637, 18.98
1141, 0.353554, 0.170926, 0.172763, 0.11787, 0.093638, 0.072511, 0.018739, 0.787506, 0.415639, 0.711301, 0.700687, 21.49
1142, 0.372267, 0.172463, 0.165988, 0.110548, 0.093474, 0.071516, 0.013744, 0.555865, 0.419922, 0.564645, 0.524689, 17.92
1143, 0.375183, 0.165554, 0.168311, 0.118703, 0.087663, 0.069939, 0.014648, 0.664725, 0.497973, 0.577203, 0.683958, 18.99
1144, 0.376148, 0.165343, 0.177173, 0.101422, 0.094812, 0.072747, 0.012356, 0.670096, 0.410228, 0.678477, 0.556193, 21.42
1145, 0.399619, 0.161185, 0.1573, 0.106367, 0.094825, 0.071739, 0.008965, 0.397596, 0.530995, 0.737666, 0.588342, 19.67
1146, 0.338166, 0.177353, 0.1783, 0.119974, 0.099814, 0.07661, 0.009783, 0.609093, 0.537458, 0.725916, 0.658029, 20.84
1147, 0.39122, 0.172319, 0.158053, 0.105679, 0.089047, 0.074482, 0.009201, 0.511931, 0.485097, 0.67756, 0.511933, 18.33
1148, 0.386854, 0.168969, 0.159507, 0.107727, 0.094174, 0.073194, 0.009576, 0.499182, 0.513444, 0.58326, 0.595925, 16.88
1149, 0.365661, 0.17011, 0.181421, 0.109487, 0.094033, 0.075312, 0.003976, 0.512693, 0.5736, 0.659639, 0.627609, 18.51
1150, 0.374529, 0.171276, 0.168984, 0.11142, 0.097276, 0.072267, 0.004249, 0.52187, 0.591748, 0.536964, 0.439551, 18.36
1151, 0.382338, 0.170106, 0.169324, 0.106172, 0.087844, 0.070614, 0.013602, 0.527074, 0.372663, 0.597612, 0.642504, 18.81
1152, 0.367605, 0.175791, 0.167557, 0.108731, 0.096436, 0.07012, 0.013761, 0.631677, 0.416341, 0.642413, 0.574141, 17.55
1153, 0.374032, 0.171847, 0.174099, 0.105867, 0.089897, 0.071062, 0.013196, 0.492501, 0.497092, 0.658019, 0.615038, 20.35
1154, 0.38548, 0.16869, 0.167459, 0.107275, 0.085419, 0.077412, 0.008265, 0.4922, 0.520435, 0.71392, 0.575601, 21.26
1155, 0.373366, 0.176945, 0.176628, 0.105109, 0.090809, 0.072562, 0.00458, 0.568977, 0.439955, 0.599839, 0.532552, 19.76
