number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
2164, 0.331963, 0.174837, 0.15685, 0.134127, 0.110059, 0.074804, 0.01736, 0.628392, 0.782672, 0.665166, 0.521845, 17.8
2165, 0.364904, 0.165946, 0.15723, 0.12522, 0.09692, 0.0709, 0.018879, 0.826539, 0.360699, 0.644442, 0.638608, 18.27
2166, 0.347405, 0.169707, 0.159438, 0.134344, 0.098319, 0.073317, 0.01747, 0.458464, 0.689788, 0.605924, 0.419603, 16.53
2167, 0.378162, 0.168328, 0.150751, 0.117204, 0.099073, 0.067095, 0.019386, 0.506245, 0.55548, 0.492347, 0.409727, 19.04
2168, 0.358775, 0.171729, 0.157409, 0.125595, 0.097619, 0.0642, 0.024672, 0.622165, 0.44075, 0.649855, 0.794379, 19.18
2169, 0.375871, 0.168345, 0.153241, 0.118, 0.097826, 0.065029, 0.021688, 0.671339, 0.345477, 0.596818, 0.591097, 20
2170, 0.36275, 0.163318, 0.145605, 0.132311, 0.107932, 0.069906, 0.018177, 0.503888, 0.596124, 0.583645, 0.298899, 18.75
2171, 0.354243, 0.178895, 0.162433, 0.124769, 0.099647, 0.073331, 0.006682, 0.527393, 0.510478, 0.483187, 0.427354, 17.26
2172, 0.350841, 0.175997, 0.149689, 0.133439, 0.104918, 0.075913, 0.009203, 0.567542, 0.361933, 0.42659, 0.548453, 20.9
2173, 0.386787, 0.161679, 0.152539, 0.125211, 0.098927, 0.066617, 0.008242, 0.55309, 0.426357, 0.442481, 0.447488, 18.23
2174, 0.372901, 0.168115, 0.158843, 0.120531, 0.098898, 0.073306, 0.007406, 0.544185, 0.486936, 0.536124, 0.56628, 17.45
2175, 0.376859, 0.17871, 0.140417, 0.125157, 0.099969, 0.063464, 0.015423, 0.452175, 0.705299, 0.674186, 0.351191, 19.21
2176, 0.353433, 0.16971, 0.153832, 0.12959, 0.10485, 0.067629, 0.020955, 0.456102, 0.561098, 0.545234, 0.381355, 18.19
2177, 0.381917, 0.180003, 0.141076, 0.120778, 0.097162, 0.065624, 0.01344, 0.527825, 0.585568, 0.640383, 0.632127, 19.01
2178, 0.318565, 0.178739, 0.16221, 0.138214, 0.109734, 0.073563, 0.018975, 0.707405, 0.791651, 0.763315, 0.419404, 20.15
2179, 0.363138, 0.169276, 0.146982, 0.129345, 0.105621, 0.066937, 0.0187, 0.664876, 0.567553, 0.592519, 0.30118, 19.41
2180, 0.332033, 0.17303, 0.158985, 0.138878, 0.1061, 0.07279, 0.018184, 0.552663, 0.658539, 0.647394, 0.479688, 19.61
2181, 0.381757, 0.163509, 0.157893, 0.120468, 0.099559, 0.069141, 0.007674, 0.553441, 0.465496, 0.413561, 0.353263, 18.49
2182, 0.381787, 0.184236, 0.148284, 0.113756, 0.094078, 0.061511, 0.016349, 0.504298, 0.58707, 0.567399, 0.392793, 19.47
2183, 0.380662, 0.173559, 0.156173, 0.113239, 0.096523, 0.071885, 0.007958, 0.51179, 0.523637, 0.531506, 0.486534, 17.21
2184, 0.382172, 0.171887, 0.152285, 0.117874, 0.096397, 0.07086, 0.008525, 0.47905, 0.651952, 0.393172, 0.334791, 17.59
2185, 0.359459, 0.172889, 0.156517, 0.127809, 0.103859, 0.070727, 0.008739, 0.565559, 0.603084, 0.559974, 0.504342, 17.53
